number of triangles,voxel grid dimension,multiple rays,triangle prescreening,time,
960,16,true,true,0.364915,
960,16,true,false,8.23798,
960,16,false,true,0.068489,
960,16,false,false,1.35235,
960,32,true,true,2.81567,
960,32,true,false,65.8881,
960,32,false,true,0.514144,
960,32,false,false,10.737,
2464,16,true,true,0.773015,
2464,16,true,false,21.5998,
2464,16,false,true,0.166151,
2464,16,false,false,3.50835,
2464,32,true,true,6.06137,
2464,32,true,false,171.663,
2464,32,false,true,1.16184,
2464,32,false,false,28.1087,
3192,16,true,true,1.02549,
3192,16,true,false,27.6693,
3192,16,false,true,0.209319,
3192,16,false,false,4.56138,
3192,32,true,true,7.90456,
3192,32,true,false,231.702,
3192,32,false,true,1.50468,
3192,32,false,false,37.1992,
